Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,RIA.GC.ng.g,logRIA,Days_past_conc,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,repro_state
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.081,1944,2/7/09,2,2009,1462.404167,22.84062357,3.128540686,119,16 weeks,80,17.44146351,1033.568208,Preg17,6.940772374,2nd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.082,1958,2/9/09,2,2009,1462.477083,30.63477679,3.42213586,121,16 weeks,80,16.70106021,977.6230367,Preg17,6.885124153,2nd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.067,1974,2/13/09,2,2009,1462.420139,23.93850353,3.175488189,125,18 weeks,80,6.881329507,492.9907706,Preg17,6.200490453,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.048,1998,2/18/09,2,2009,1462.416667,20.02122871,2.996793146,130,18 weeks,80,6.101606676,610.1606676,Preg17,6.413722312,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.068,2060,3/2/09,3,2009,1462.371528,24.7467462,3.208694014,142,20 weeks,80,6.104296018,430.8914836,Preg18,6.06585628,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.042,2106,3/8/09,3,2009,1462.468056,24.96166998,3.217341448,148,20 weeks,80,8.040940377,918.9646145,Preg18,6.823247617,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.071,2119,3/11/09,3,2009,1462.352083,19.68750287,2.979984062,151,20 weeks,80,13.40863307,906.4991371,Preg18,6.809590078,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.097,2147,3/15/09,3,2009,1462.485417,19.50115023,2.97047345,155,22 weeks,80,13.81969159,683.8610274,Preg18,6.527754721,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.079,2164,3/21/09,3,2009,1462.499306,24.50759321,3.198982996,161,22 weeks,80,19.56092918,1188.512153,Preg18,7.080457512,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.066,2183,3/25/09,3,2009,8:42,27.3527278,3.308816261,165,22 weeks,80,16.56888898,1205.010108,Preg18,7.094243234,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.064,2212,3/30/09,3,2009,1462.390972,18.79151995,2.933405702,170,24 weeks,80,22.23801103,1667.850827,Preg18,7.419291147,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.058,2251,4/4/09,4,2009,1462.45,25.42624238,3.235781805,175,24 weeks,80,16.43272511,1359.949664,Preg18,7.215202966,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.058,2303,4/8/09,4,2009,1462.436111,25.88050852,3.253490119,179,24 weeks,80,14.60004912,1208.279927,Preg18,7.096953079,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.065,1687,8/13/08,8,2008,1462.479167,14.44270001,2.670189097,-59,-10 weeks,80,12.48104692,921.677311,Preg1B,6.826195174,PreG_3
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.06,1749,9/20/08,9,2008,1462.395139,13.44663274,2.598728721,-21,-4 weeks,80,6.440597464,515.2477971,Preg1B,6.244647944,PreG_3
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.122,2048,2/27/09,2,2009,1462.383333,16.85371631,2.824571185,139,20 weeks,80,11.3984927,448.4652864,Preg2,6.105831279,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.081,2335,4/10/09,4,2009,1462.371528,15.34612189,2.730862797,181,24 weeks,80,11.77097588,697.5393114,Preg2,6.547558873,3rd_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.098,2026,2/23/09,2,2009,1462.486806,12.3757463,2.515738614,135,18 weeks,80,9.381297708,459.4921327,Preg4B,6.13012182,3rd_Trimester
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.056,840,7/10/07,7,2007,1462.379167,31.6696521,3.455358875,17,4 weeks,80,10.65487699,913.2751706,Preg14,6.817037227,1st_Trimester
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.055,903,8/17/07,8,2007,1462.500694,33.70730352,3.517714536,55,8 weeks,80,20.46871531,1786.360609,Preg14,7.48793565,1st_Trimester
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.042,1048,12/13/07,12,2007,1462.397222,27.19633911,3.303082373,173,24 weeks,80,7.07351508,808.4017235,Preg14,6.695059118,3rd_Trimester
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.049,1122,2/7/08,2,2008,1462.409722,26.33027727,3.270719504,229,32 weeks,80,7.561032501,740.6725715,Preg14,6.607558654,Lactating_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.047,1132,2/9/08,2,2008,1462.353472,31.49740321,3.449905105,231,32 weeks,80,6.64251273,678.3842789,Preg14,6.51971391,Lactating_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.06,1180,3/9/08,3,2008,1462.377778,28.09617451,3.335633429,260,36 weeks,80,8.547397075,683.791766,Preg14,6.527653436,Lactating_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.07,1219,3/19/08,3,2008,1462.407639,27.28258494,3.306248584,270,36 weeks,80,9.495583006,651.1256919,Preg15,6.478702699,Lactating_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.097,747,5/2/07,5,2007,1462.326389,17.83186401,2.88098697,-52,-8 weeks,80,12.57541518,622.2885862,Preg1B,6.43340395,PreG_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.087,792,6/8/07,6,2007,1462.385417,41.12652576,3.716653309,-15,-4 weeks,80,40.83967736,2253.223578,Preg1B,7.720117171,PreG_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.044,981,10/24/07,10,2007,1462.464583,40.37950301,3.698322305,123,18 weeks,80,6.048228363,659.8067305,Preg1B,6.49194696,3rd_Trimester
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.074,1166,3/1/08,3,2008,1462.434028,23.32252488,3.149419627,252,34 weeks,80,9.156975434,593.9659741,Preg20B,6.386822035,Lactating_3
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.058,736,4/28/07,4,2007,1462.381944,15.82957251,2.761879868,-56,-8 weeks,80,10.36393429,857.7049064,Preg4B,6.754260108,PreG_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.078,10471,11/5/13,11,2013,10:05,25.30556544,3.231024349,222,30 weeks,80,21.02150664,1293.631178,Preg10,7.16520841,Lactating_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.064,10570,11/15/13,11,2013,11:40,23.39282479,3.152429342,232,32 weeks,80,13.5933184,1019.49888,Preg10,6.927066491,Lactating_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.106,10780,12/7/13,12,2013,8:28,25.06490233,3.221468554,254,34 weeks,80,19.62444834,888.6542644,Preg10,6.789708256,Lactating_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.078,10861,12/19/13,12,2013,9:00,25.95834207,3.256493025,266,36 weeks,80,13.35196953,821.6596637,Preg19B,6.711326275,Lactating_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.063,9913,9/2/13,9,2013,9:01,35.66348042,3.574127208,158,22 weeks,80,12.26999916,934.8570791,Preg20B,6.840393661,3rd_Trimester
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.091,9119,5/9/13,5,2013,10:44,17.00907139,2.833746813,42,6 weeks,80,19.92981234,1051.242849,Preg3,6.957728409,1st_Trimester
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.019,10294,10/18/13,10,2013,8:55,47.45265173,3.859732408,204,28 weeks,80,4.741257111,1197.79127,Preg3,7.088234531,Lactating_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.103,8540,1/23/13,1,2013,9:37,28.0687539,3.334656997,-64,-10 weeks,80,20.69184839,964.2803132,Preg8,6.871382034,PreG_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.097,8625,2/6/13,2,2013,12:27,20.30384959,3.010810503,-50,-8 weeks,80,13.92728559,689.1852664,Preg9B,6.535510127,PreG_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.042,8758,3/11/13,3,2013,9:25,29.62418488,3.388591084,-17,-4 weeks,80,11.02282147,1259.751026,Preg9B,7.138669382,PreG_3
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.103,9385,6/12/13,6,2013,10:36,20.32673224,3.011936879,76,10 weeks,80,19.41520585,904.7862918,Preg9B,6.807698774,2nd_Trimester
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.113,9554,7/3/13,7,2013,11:35,19.25275676,2.957654259,97,14 weeks,80,26.31382177,1117.755261,Preg9B,7.019077722,2nd_Trimester
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.075,9750,8/8/13,8,2013,10:11,27.96461297,3.330939888,133,18 weeks,80,24.38003594,1560.3223,Preg9B,7.352647681,3rd_Trimester
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.063,10112,10/1/13,10,2013,9:35,30.84202735,3.428878284,187,26 weeks,80,22.20236803,1691.608993,Preg9B,7.433435422,Lactating_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.046,1500,6/4/08,6,2008,1462.420833,20.0720889,2.999330238,-79,-12 weeks,80,8.711688269,909.0457325,Preg15,6.812395404,PreG_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.076,1549,6/11/08,6,2008,1462.508333,19.49497176,2.970156574,-72,-10 weeks,80,5.587344656,352.8849257,Preg15,5.866142014,PreG_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.032,1752,9/20/08,9,2008,11:33,19.15706243,2.952671443,29,4 weeks,80,7.658446733,1148.76701,Preg15,7.046444481,1st_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.069,1927,2/5/09,2,2009,1462.435417,36.56439852,3.599075049,167,24 weeks,80,18.82209033,1309.362806,Preg17,7.17729589,3rd_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.079,1957,2/9/09,2,2009,1462.475,32.39492967,3.478001919,171,24 weeks,80,24.23829386,1472.706462,Preg17,7.294857118,3rd_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.065,1972,2/13/09,2,2009,1462.372222,36.75131674,3.604174055,175,24 weeks,80,18.1865292,1343.005233,Preg17,7.202665093,3rd_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.092,1997,2/18/09,2,2009,9:54,25.72524087,3.247472645,180,24 weeks,80,23.48328562,1225.214902,Preg17,7.110871538,3rd_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.048,2107,3/8/09,3,2009,1462.483333,23.73820599,3.167085817,198,28 weeks,80,6.825421481,682.5421481,Preg18,6.525824281,Lactating_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.091,1475,5/28/08,5,2008,1462.404861,17.59079429,2.867375714,-86,-12 weeks,80,11.16816908,589.0902372,Preg1B,6.378579376,PreG_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.107,1622,7/2/08,7,2008,1462.425694,15.53929155,2.743371755,-51,-8 weeks,80,14.63341418,656.4522249,Preg1B,6.486849919,PreG_3
