Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,Days_past_conc,Takeover_Date,Tkov_Notes,takeover,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,unit_size,Rank_3,repro_state,rain30,mminT30,std_rain30,std_mminT30
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.063,9913,9/2/13,9,2013,9:01,158,1/29/08,Nafta = new male,none,22 weeks,80,12.26999916,934.8570791,Preg20B,6.840393661,small,Low,3rd_Trimester,339.2,8.044444444,1.142217712,-0.704157347
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.091,9119,5/9/13,5,2013,10:44,42,1/29/08,Nafta = new male,none,6 weeks,80,19.92981234,1051.242849,Preg3,6.957728409,small,High,1st_Trimester,32.5,9.985185185,-0.592633413,0.898658691
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.103,9385,6/12/13,6,2013,10:36,76,1/29/08,Nafta = new male,none,10 weeks,80,19.41520585,904.7862918,Preg9B,6.807698774,small,High,2nd_Trimester,119.3,13.44642857,-0.101648484,3.757225163
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.113,9554,7/3/13,7,2013,11:35,97,1/29/08,Nafta = new male,none,14 weeks,80,26.31382177,1117.755261,Preg9B,7.019077722,small,High,2nd_Trimester,350.8,12.27666667,1.20783321,2.791143967
Preg_10,ID_10,C1,M,multi,3/28/13,9/26/13,9,26,13,0.075,9750,8/8/13,8,2013,10:11,133,1/29/08,Nafta = new male,none,18 weeks,80,24.38003594,1560.3223,Preg9B,7.352647681,small,Low,3rd_Trimester,1137.5,7.725,5.657808366,-0.967979643
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.032,1752,9/20/08,9,2008,11:33,29,1/29/08,Nafta = new male,none,4 weeks,80,7.658446733,1148.76701,Preg15,7.046444481,small,Low,1st_Trimester,268.8,8.107692308,0.743999521,-0.651922297
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.069,1927,2/5/09,2,2009,1462.435417,167,1/29/08,Nafta = new male,none,24 weeks,80,18.82209033,1309.362806,Preg17,7.17729589,small,Low,3rd_Trimester,0,9.156,-0.776469936,0.21385248
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.079,1957,2/9/09,2,2009,1462.475,171,1/29/08,Nafta = new male,none,24 weeks,80,24.23829386,1472.706462,Preg17,7.294857118,small,Low,3rd_Trimester,0,9.404,-0.776469936,0.418670347
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.065,1972,2/13/09,2,2009,1462.372222,175,1/29/08,Nafta = new male,none,24 weeks,80,18.1865292,1343.005233,Preg17,7.202665093,small,Low,3rd_Trimester,0,9.526923077,-0.776469936,0.520189872
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.092,1997,2/18/09,2,2009,9:54,180,1/29/08,Nafta = new male,none,24 weeks,80,23.48328562,1225.214902,Preg17,7.110871538,small,Low,3rd_Trimester,0.5,9.876,-0.773641682,0.808484995
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.053,1902,1/31/09,1,2009,1462.469444,162,1/29/08,Nafta = new male,none,22 weeks,80,14.30363566,1295.423607,Preg1B,7.16659303,small,Low,3rd_Trimester,0,6.561538462,-0.776469936,-1.928857505
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.066,10203,10/11/13,10,2013,10:35,163,4/11/09,Webay = new male,none,22 weeks,80,14.35556929,1044.041403,Preg10,6.950854426,small,High,3rd_Trimester,232.2,7.513636364,0.536971314,-1.142540325
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.094,9075,5/2/13,5,2013,10:09,1,4/11/09,Webay = new male,none,-2 weeks,80,11.42318873,583.3117647,Preg3,6.368721803,small,High,1st_Trimester,35.2,9.818518519,-0.577360841,0.761012276
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.132,9424,6/17/13,6,2013,11:10,47,4/11/09,Webay = new male,none,8 weeks,80,23.03864667,837.7689698,Preg3,6.73074237,small,High,1st_Trimester,195.4,13.27857143,0.328811805,3.618595561
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.035,10337,10/21/13,10,2013,10:03,173,4/11/09,Webay = new male,none,24 weeks,80,9.803674607,1344.503946,Preg5B,7.203780411,small,High,3rd_Trimester,148.3,7.345833333,0.062390259,-1.281125239
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.088,9667,7/25/13,7,2013,2:09,85,4/11/09,Webay = new male,none,12 weeks,80,35.50169998,1936.456362,Preg9B,7.568614964,small,High,2nd_Trimester,1143,8.032142857,5.688919162,-0.714316963
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.072,9837,8/22/13,8,2013,11:51,113,4/11/09,Webay = new male,none,16 weeks,80,13.87745903,925.1639352,Preg9B,6.829970949,small,High,2nd_Trimester,485.9,7.992592593,1.972027494,-0.746980676
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.083,9901,9/2/13,9,2013,8:39,124,4/11/09,Webay = new male,none,18 weeks,80,20.45279581,1182.812288,Preg9B,7.075650177,small,High,3rd_Trimester,339.2,8.044444444,1.142217712,-0.704157347
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.046,3257,1/25/10,1,2010,1462.483333,17,4/11/09,Webay = new male,none,4 weeks,80,15.39605154,1606.544509,Preg16,7.381840884,medium,High,1st_Trimester,27.8,6.966666667,-0.619219003,-1.594270834
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.059,3278,2/2/10,2,2010,1462.436111,25,4/11/09,Webay = new male,none,4 weeks,80,24.23344945,1971.53487,Preg16,7.58656764,medium,High,1st_Trimester,28.7,7.714285714,-0.614128145,-0.976828342
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.06,3343,2/19/10,2,2010,1462.422917,42,4/11/09,Webay = new male,none,6 weeks,80,16.03735731,1282.988584,Preg16,7.156947467,medium,High,1st_Trimester,28.7,8.037931034,-0.614128145,-0.709536633
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.09,3437,3/5/10,3,2010,1462.381944,56,4/11/09,Webay = new male,none,8 weeks,80,18.71646029,998.2112154,Preg16,6.905964893,medium,High,1st_Trimester,0,8.237931034,-0.776469936,-0.544360934
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.047,3464,3/18/10,3,2010,1462.404861,69,4/11/09,Webay = new male,none,10 weeks,80,19.97176491,2039.669608,Preg16,7.620543117,medium,High,2nd_Trimester,6.1,8.526666667,-0.741965235,-0.305900384
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.068,3608,4/21/10,4,2010,1462.445833,103,4/11/09,Webay = new male,none,14 weeks,80,26.13200144,1844.611867,Preg4B,7.520024164,medium,High,2nd_Trimester,78.7,9.334782609,-0.331302725,0.361505192
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.054,3644,5/5/10,5,2010,1462.40625,117,4/11/09,Webay = new male,none,16 weeks,80,15.09669957,1341.928851,Preg4B,7.201863299,medium,High,2nd_Trimester,71,9.775,-0.37485784,0.725071268
Preg_13,ID_12,C1,M,primi,1/8/10,7/9/10,7,9,10,0.054,3927,6/18/10,6,2010,1462.397917,161,4/11/09,Webay = new male,none,22 weeks,80,27.55970951,2449.751956,Preg5B,7.803742056,medium,High,3rd_Trimester,330.1,9.635483871,1.090743486,0.609847897
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.078,1942,2/7/09,2,2009,1462.395833,60,1/29/08,Nafta = new male,none,8 weeks,80,6.785927452,417.5955355,Preg17,6.034513346,small,High,1st_Trimester,0,9.412,-0.776469936,0.425277375
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.068,1966,2/12/09,2,2009,1462.376389,65,1/29/08,Nafta = new male,none,10 weeks,80,11.09162427,782.9381835,Preg17,6.663053745,small,High,2nd_Trimester,0,9.507692308,-0.776469936,0.504307594
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.052,2024,2/23/09,2,2009,1462.484028,76,1/29/08,Nafta = new male,none,10 weeks,80,27.95249616,2580.230415,Preg17,7.855633982,small,High,2nd_Trimester,0.5,10.22307692,-0.773641682,1.095128359
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.063,2055,3/1/09,3,2009,1462.433333,82,1/29/08,Nafta = new male,none,12 weeks,80,13.55584063,1032.825953,Preg18,6.940053968,small,High,2nd_Trimester,0.6,11.04615385,-0.773076031,1.774889894
